Enabling Source,Enabling Component,Enabling Component Description,Dependent Component,Dependent Component Description,Dependent Source,Linkage mandated by what US Code or OMB policy?,Enabling Source URL,Dependent Source URL,Enabling Source Agency,Dependent Source Agency,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 4.1 – Enhance the Procurement Business Model,AMS SP 2022 4.1 – Enhance the Procurement Business Model,USDA 2022 SG 3: Foster an Equitable and Competitive Marketplace for All Agricultural Producers,"Expanding international marketing opportunities for U.S. farmers and exporters is critical to fostering business and income growth across rural America. It is essential for USDA to continue its efforts to promote American agricultural products and exports through promotion activities, development of international standards, removal of trade barriers by monitoring and enforcing existing trade agreements, and negotiation of trade agreements that benefit the U.S. agricultural economy. USDA will also work with developing countries to grow their economies and facilitate trade, developing markets of the future for all our producers.
",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 4.2 – Ensure and Expand Optimal Web-Based Supply Chain Management Service Delivery,AMS SP 2022 4.2 – Ensure and Expand Optimal Web-Based Supply Chain Management Service Delivery,"USDA 2022 2.2: Build Resilient Food Systems, Infrastructure, and Supply Chain","USDA works tirelessly to ensure that the food system is fair, resilient, competitive, and distributed. USDA will continue to employ innovation and develop new markets, both at home and abroad, to ensure that these goals are met. The Department supports efforts that bolster the economic growth of U.S. growers and producers, local and regional food systems, innovative production methodologies, and marketing strategies. In response to the increased demand for local and regional foods caused by the COVID-19 pandemic, USDA will prioritize investments that strengthen these markets and ensure food supply chain resilience for the future. Investing in local and regional food systems will further enhance the share of profits for those who grow, harvest, process, and prepare our food. Further, USDA will continue to advance opportunities in new markets abroad to better enable U.S. agriculture to access and sustain market growth.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,"AMS SP 2022 4.3 – Improve Access to Healthy, Locally Produced Foods While Developing Market Opportunities","AMS SP 2022 4.3 – Improve Access to Healthy, Locally Produced Foods While Developing Market Opportunities","USDA 2022 3.2: Expand Markets for Emerging Technologies, Sustainable Products, and Novel Products","USDA links U.S. agriculture to the world by promoting agricultural exports, which are vital to the American agricultural sector. USDA’s Foreign Agricultural Service (FAS) conducts export promotion activities, which help U.S. food and agricultural exporters take advantage of market opportunities. These opportunities are created by removing barriers to U.S. exports and by building trade capacity to increase demand for exports, including developing foreign markets for U.S. climate-smart agricultural products. USDA administers trade programs and activities, working in partnership with private-sector associations, land-grant universities, State and regional trade groups, U.S. food and agricultural exporters, and U.S. and foreign financial institutions. In addition, USDA’s Office of the Chief Scientist (OCS) manages and provides oversight for international science and technology collaborations, which are critical to protecting and promoting USDA R&D provide the foundation upon which domestic and international markets grow.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,"AMS SP 2022 5.1 – Provide Financial Protection to Livestock Producers and Ensure Fair and Competitive Markets for Livestock, Meat and Poultry","AMS SP 2022 5.1 – Provide Financial Protection to Livestock Producers and Ensure Fair and Competitive Markets for Livestock, Meat and Poultry","USDA 2022 SG 2: Ensure America’s Agricultural System is Equitable, Resilient, and Prosperous","A strong and prosperous agricultural sector is essential to the well-being of the U.S. economy. America’s farmers and ranchers ensure a reliable food supply, support job growth, and promote economic development. To maintain an equitable and competitive agricultural sector, USDA will safeguard animal and plant health, support farmers and ranchers’ ability to start and maintain profitable cooperatives and businesses and offer financial support to all producers affected by natural disasters. Additionally, USDA’s research agencies will continue to introduce high-performance plants and animals and offer integrated management options to increase the efficiency of farming practices.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,"AMS SP 2022 5.1 – Provide Financial Protection to Livestock Producers and Ensure Fair and Competitive Markets for Livestock, Meat and Poultry","AMS SP 2022 5.1 – Provide Financial Protection to Livestock Producers and Ensure Fair and Competitive Markets for Livestock, Meat and Poultry",USDA 2022 SG 3: Foster an Equitable and Competitive Marketplace for All Agricultural Producers,"Expanding international marketing opportunities for U.S. farmers and exporters is critical to fostering business and income growth across rural America. It is essential for USDA to continue its efforts to promote American agricultural products and exports through promotion activities, development of international standards, removal of trade barriers by monitoring and enforcing existing trade agreements, and negotiation of trade agreements that benefit the U.S. agricultural economy. USDA will also work with developing countries to grow their economies and facilitate trade, developing markets of the future for all our producers.
",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 5.2 – Facilitate Fair Trading Practices in the Marketing of Fresh and Frozen Fruits and Vegetables in Interstate and Foreign Commerce,AMS SP 2022 5.2 – Facilitate Fair Trading Practices in the Marketing of Fresh and Frozen Fruits and Vegetables in Interstate and Foreign Commerce,USDA 2022 SG 3: Foster an Equitable and Competitive Marketplace for All Agricultural Producers,"Expanding international marketing opportunities for U.S. farmers and exporters is critical to fostering business and income growth across rural America. It is essential for USDA to continue its efforts to promote American agricultural products and exports through promotion activities, development of international standards, removal of trade barriers by monitoring and enforcing existing trade agreements, and negotiation of trade agreements that benefit the U.S. agricultural economy. USDA will also work with developing countries to grow their economies and facilitate trade, developing markets of the future for all our producers.
",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 5.3 – Boost Fair Trade Practices by Administering all Provisions of the U.S. Warehouse Act (USWA) and Commodity Credit Corporation (CCC) Storage Agreements ,AMS SP 2022 5.3 – Boost Fair Trade Practices by Administering all Provisions of the U.S. Warehouse Act (USWA) and Commodity Credit Corporation (CCC) Storage Agreements ,USDA 2022 SG 3: Foster an Equitable and Competitive Marketplace for All Agricultural Producers,"Expanding international marketing opportunities for U.S. farmers and exporters is critical to fostering business and income growth across rural America. It is essential for USDA to continue its efforts to promote American agricultural products and exports through promotion activities, development of international standards, removal of trade barriers by monitoring and enforcing existing trade agreements, and negotiation of trade agreements that benefit the U.S. agricultural economy. USDA will also work with developing countries to grow their economies and facilitate trade, developing markets of the future for all our producers.
",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 5.4 – Ensure Consumers are Aware of and Provided with Accurate Information about Food Sources,AMS SP 2022 5.4 – Ensure Consumers are Aware of and Provided with Accurate Information about Food Sources,"USDA 2022 SG 4: Provide All Americans Safe, Nutritious Food","USDA plays a critical role in preventing foodborne illness and protecting public health, while ensuring Americans have access to healthy foods and beverages, as well as nutrition education that supports American agriculture and inspires public confidence. USDA is focused on ensuring that all Americans have consistent access to the safe, healthy, affordable foods and beverages essential to optimal health and well-being. While keeping the food supply safe, the Department must also reduce food insecurity and prioritize nutrition insecurity, which emphasizes providing Americans not just calories, but calories that matter for their health and well-being, as well as taking an equity lens to the Department’s efforts to make safe, nutritious food available to all Americans.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,"AMS SP 2022 6.1 – Foster an environment of employee engagement, development, communication and accountability","AMS SP 2022  6.1 – Foster an environment of employee engagement, development, communication and accountability","USDA 2022 6.2: Establish a Customer-Centric, Inclusive, High-Performing Workforce that is Representative of America and the Communities We Serve","The Department strives to make USDA a great place to work for everyone, with a focus on restoring the confidence and morale of the workforce following the COVID-19 pandemic. Through their mission delivery, engaged and empowered employees will find creative solutions to unexpected challenges; they will bring innovation to their customer service delivery; they will display curiosity and collaboration across Agency and Mission Area lines; they will celebrate each other’s thoughts and experiences; and they will serve as ambassadors to recruit and retain a talented workforce that will ensure USDA’s continued future success and evolution. ",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,"AMS SP 2022 6.1 – Foster an environment of employee engagement, development, communication and accountability","AMS SP 2022  6.1 – Foster an environment of employee engagement, development, communication and accountability","USDA 2022 SG 6: Attract, Inspire, and Retain an Engaged and Motivated Workforce that’s Proud to Represent USDA","At USDA, we are committed to reaching new heights by recruiting, onboarding, supporting, and retaining a diverse and talented workforce and cultivating a workplace environment that is collaborative, service oriented, mission-centered, healthy, inclusive, and welcoming. This includes leaders and staff who work together to build a culture that welcomes, respects, and supports everyone in reaching their highest potential by ensuring equal opportunity compliance, providing proactive civil rights, and championing USDA’s zero tolerance policy for unlawful discrimination and sexual harassment for all employees. We believe this focus on organizational culture will enable us to build the USDA back better as a premier organization and model employer that lives by its values.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 6.2 – Enhance Information Technology (IT) Governance,"Improve collaboration, strategic and tactical planning between the program areas, business and IT Leaders to support the AMS mission. The partnership between AMS and the Marketing and Regulatory Programs Business Services (MRPBS) leadership is key to ensuring the organization is driving towards maximum business value. ",USDA 2022 6.3: Promote USDA Operational Excellence Through Better Use of Technology and Shared Solutions,"The Department strives to fully leverage modern human-centered design, data, technology, and digital services to provide our internal and external customers with easy-to-navigate online tools to increase access to our critical programs and services. Enterprise-wide shared technology and data services will help increase the Department’s capacity to make data-driven policy decisions, track progress, and support evidence-building within USDA’s research and statistical agencies, while also increasing data shared with external researchers. Increasing shared services and modernizing legacy IT systems will move the Department towards a future where customer-facing programs are seamlessly integrated with back-end IT that can be continually modified in response to changing customer needs. ",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 6.3 – Cultivate a rich and diverse workforce,AMS SP 2022 6.3 – Cultivate a rich and diverse workforce,"USDA 2022 6.1: Foster a Culture of Civil Rights, Diversity, Equity, Inclusion, Accessibility, Transparency, and Accountability","USDA is committed to the values of equity and inclusion, rooted in justice and equal opportunity for our employees and those we serve. Under the leadership of the Biden-Harris Administration, the Department is taking bold, historic action to root out generations of systemic racism, deeply integrate equity into decision making and policymaking, and build equitable systems and programming for all Americans. USDA is standing up an independent Equity Commission to examine USDA programs and services and make recommendations as to how the Department can advance equity by reducing barriers to access for historically undeserved communities. The Department also launched its inaugural Racial Justice and Equity Internal Working Group to review internal systems and processes and identify inequities, challenges, and opportunities for improvement.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 6.3 – Cultivate a rich and diverse workforce,AMS SP 2022 6.3 – Cultivate a rich and diverse workforce,"USDA 2022 6.2: Establish a Customer-Centric, Inclusive, High-Performing Workforce that is Representative of America and the Communities We Serve","The Department strives to make USDA a great place to work for everyone, with a focus on restoring the confidence and morale of the workforce following the COVID-19 pandemic. Through their mission delivery, engaged and empowered employees will find creative solutions to unexpected challenges; they will bring innovation to their customer service delivery; they will display curiosity and collaboration across Agency and Mission Area lines; they will celebrate each other’s thoughts and experiences; and they will serve as ambassadors to recruit and retain a talented workforce that will ensure USDA’s continued future success and evolution. ",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 6.3 – Cultivate a rich and diverse workforce,AMS SP 2022 6.3 – Cultivate a rich and diverse workforce,"USDA 2022 SG 6: Attract, Inspire, and Retain an Engaged and Motivated Workforce that’s Proud to Represent USDA","At USDA, we are committed to reaching new heights by recruiting, onboarding, supporting, and retaining a diverse and talented workforce and cultivating a workplace environment that is collaborative, service oriented, mission-centered, healthy, inclusive, and welcoming. This includes leaders and staff who work together to build a culture that welcomes, respects, and supports everyone in reaching their highest potential by ensuring equal opportunity compliance, providing proactive civil rights, and championing USDA’s zero tolerance policy for unlawful discrimination and sexual harassment for all employees. We believe this focus on organizational culture will enable us to build the USDA back better as a premier organization and model employer that lives by its values.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 PM Cumulative number of countries and commodities covered by laboratory testing and approval programs developed to increase export market access (2.3),AMS SP 2022 PM Cumulative number of countries and commodities covered by laboratory testing and approval programs developed to increase export market access (2.3),,,,,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,,USDA,,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 PM Cumulative number of crops the Plant Variety Protection Office accepts from the UPOV international electronic PVP filing system (2.3),AMS SP 2022 PM Cumulative number of crops the Plant Variety Protection Office accepts from the UPOV international electronic PVP filing system (2.3),,,,,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,,USDA,,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 PM Cumulative number of global PDP contacts to share program information (2.3),AMS SP 2022 PM Cumulative number of global PDP contacts to share program information (2.3),,,,,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,,USDA,,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 PM Issuance of accurate monthly price information to the dairy industry (3.4),AMS SP 2022 PM Issuance of accurate monthly price information to the dairy industry (3.4),,,,,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,,USDA,,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 PM Local and Regional Markets Reported (1.1),AMS SP 2022 PM Local and Regional Markets Reported (1.1),,,,,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,,USDA,,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 PM Maintain a positive export verification/certification Return on Investment (2.1),AMS SP 2022 PM Maintain a positive export verification/certification Return on Investment (2.1),,,,,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,,USDA,,,,,,,,,,,,,,,,,,
