external_id,question_1,positive_effectiveness,positive_ease,positive_efficiency,positive_transparency,positive_humanity,positive_employee,positive_other,negative_effectiveness,negative_ease,negative_efficiency,negative_transparency,negative_humanity,negative_employee,negative_other,question_4
43,Data 43-1,Data 43-2,Data 43-3,Data 43-4,Data 43-5,Data 43-6,Data 43-7,Data 43-8,Data 43-9,Data 43-10,Data 43-11,Data 43-12,Data 43-12,Data 43-12,Data 43-12,Data 43-12
44,Data 44-1,Data 44-2,Data 44-3,Data 44-4,Data 44-5,Data 44-6,Data 44-7,Data 44-8,Data 44-9,Data 44-10,Data 44-11,Data 44-12,Data 44-12,Data 44-12,Data 44-12,Data 44-12
45,Data 45-1,Data 45-2,Data 45-3,Data 45-4,Data 45-5,Data 45-6,Data 45-7,Data 45-8,Data 45-9,Data 45-10,Data 45-11,Data 45-12,Data 45-12,Data 45-12,Data 45-12,Data 45-12
46,Data 46-1,Data 46-2,Data 46-3,Data 46-4,Data 46-5,Data 46-6,Data 46-7,Data 46-8,Data 46-9,Data 46-10,Data 46-11,Data 46-12,Data 46-12,Data 46-12,Data 46-12,Data 46-12
47,Data 47-1,Data 47-2,Data 47-3,Data 47-4,Data 47-5,Data 47-6,Data 47-7,Data 47-8,Data 47-9,Data 47-10,Data 47-11,Data 47-12,Data 47-12,Data 47-12,Data 47-12,Data 47-12
48,Data 48-1,Data 48-2,Data 48-3,Data 48-4,Data 48-5,Data 48-6,Data 48-7,Data 48-8,Data 48-9,Data 48-10,Data 48-11,Data 48-12,Data 48-12,Data 48-12,Data 48-12,Data 48-12
49,Data 49-1,Data 49-2,Data 49-3,Data 49-4,Data 49-5,Data 49-6,Data 49-7,Data 49-8,Data 49-9,Data 49-10,Data 49-11,Data 49-12,Data 49-12,Data 49-12,Data 49-12,Data 49-12
50,Data 50-1,Data 50-2,Data 50-3,Data 50-4,Data 50-5,Data 50-6,Data 50-7,Data 50-8,Data 50-9,Data 50-10,Data 50-11,Data 50-12,Data 50-12,Data 50-12,Data 50-12,Data 50-12
51,Data 51-1,Data 51-2,Data 51-3,Data 51-4,Data 51-5,Data 51-6,Data 51-7,Data 51-8,Data 51-9,Data 51-10,Data 51-11,Data 51-12,Data 51-12,Data 51-12,Data 51-12,Data 51-12
52,Data 52-1,Data 52-2,Data 52-3,Data 52-4,Data 52-5,Data 52-6,Data 52-7,Data 52-8,Data 52-9,Data 52-10,Data 52-11,Data 52-12,Data 52-12,Data 52-12,Data 52-12,Data 52-12
53,Data 53-1,Data 53-2,Data 53-3,Data 53-4,Data 53-5,Data 53-6,Data 53-7,Data 53-8,Data 53-9,Data 53-10,Data 53-11,Data 53-12,Data 53-12,Data 53-12,Data 53-12,Data 53-12
54,Data 54-1,Data 54-2,Data 54-3,Data 54-4,Data 54-5,Data 54-6,Data 54-7,Data 54-8,Data 54-9,Data 54-10,Data 54-11,Data 54-12,Data 54-12,Data 54-12,Data 54-12,Data 54-12
55,Data 55-1,Data 55-2,Data 55-3,Data 55-4,Data 55-5,Data 55-6,Data 55-7,Data 55-8,Data 55-9,Data 55-10,Data 55-11,Data 55-12,Data 55-12,Data 55-12,Data 55-12,Data 55-12
56,Data 56-1,Data 56-2,Data 56-3,Data 56-4,Data 56-5,Data 56-6,Data 56-7,Data 56-8,Data 56-9,Data 56-10,Data 56-11,Data 56-12,Data 56-12,Data 56-12,Data 56-12,Data 56-12
57,Data 57-1,Data 57-2,Data 57-3,Data 57-4,Data 57-5,Data 57-6,Data 57-7,Data 57-8,Data 57-9,Data 57-10,Data 57-11,Data 57-12,Data 57-12,Data 57-12,Data 57-12,Data 57-12
58,Data 58-1,Data 58-2,Data 58-3,Data 58-4,Data 58-5,Data 58-6,Data 58-7,Data 58-8,Data 58-9,Data 58-10,Data 58-11,Data 58-12,Data 58-12,Data 58-12,Data 58-12,Data 58-12
59,Data 59-1,Data 59-2,Data 59-3,Data 59-4,Data 59-5,Data 59-6,Data 59-7,Data 59-8,Data 59-9,Data 59-10,Data 59-11,Data 59-12,Data 59-12,Data 59-12,Data 59-12,Data 59-12
60,Data 60-1,Data 60-2,Data 60-3,Data 60-4,Data 60-5,Data 60-6,Data 60-7,Data 60-8,Data 60-9,Data 60-10,Data 60-11,Data 60-12,Data 60-12,Data 60-12,Data 60-12,Data 60-12
61,Data 61-1,Data 61-2,Data 61-3,Data 61-4,Data 61-5,Data 61-6,Data 61-7,Data 61-8,Data 61-9,Data 61-10,Data 61-11,Data 61-12,Data 61-12,Data 61-12,Data 61-12,Data 61-12
62,Data 62-1,Data 62-2,Data 62-3,Data 62-4,Data 62-5,Data 62-6,Data 62-7,Data 62-8,Data 62-9,Data 62-10,Data 62-11,Data 62-12,Data 62-12,Data 62-12,Data 62-12,Data 62-12
63,Data 63-1,Data 63-2,Data 63-3,Data 63-4,Data 63-5,Data 63-6,Data 63-7,Data 63-8,Data 63-9,Data 63-10,Data 63-11,Data 63-12,Data 63-12,Data 63-12,Data 63-12,Data 63-12
64,Data 64-1,Data 64-2,Data 64-3,Data 64-4,Data 64-5,Data 64-6,Data 64-7,Data 64-8,Data 64-9,Data 64-10,Data 64-11,Data 64-12,Data 64-12,Data 64-12,Data 64-12,Data 64-12
65,Data 65-1,Data 65-2,Data 65-3,Data 65-4,Data 65-5,Data 65-6,Data 65-7,Data 65-8,Data 65-9,Data 65-10,Data 65-11,Data 65-12,Data 65-12,Data 65-12,Data 65-12,Data 65-12
66,Data 66-1,Data 66-2,Data 66-3,Data 66-4,Data 66-5,Data 66-6,Data 66-7,Data 66-8,Data 66-9,Data 66-10,Data 66-11,Data 66-12,Data 66-12,Data 66-12,Data 66-12,Data 66-12
67,Data 67-1,Data 67-2,Data 67-3,Data 67-4,Data 67-5,Data 67-6,Data 67-7,Data 67-8,Data 67-9,Data 67-10,Data 67-11,Data 67-12,Data 67-12,Data 67-12,Data 67-12,Data 67-12
68,Data 68-1,Data 68-2,Data 68-3,Data 68-4,Data 68-5,Data 68-6,Data 68-7,Data 68-8,Data 68-9,Data 68-10,Data 68-11,Data 68-12,Data 68-12,Data 68-12,Data 68-12,Data 68-12
69,Data 69-1,Data 69-2,Data 69-3,Data 69-4,Data 69-5,Data 69-6,Data 69-7,Data 69-8,Data 69-9,Data 69-10,Data 69-11,Data 69-12,Data 69-12,Data 69-12,Data 69-12,Data 69-12
70,Data 70-1,Data 70-2,Data 70-3,Data 70-4,Data 70-5,Data 70-6,Data 70-7,Data 70-8,Data 70-9,Data 70-10,Data 70-11,Data 70-12,Data 70-12,Data 70-12,Data 70-12,Data 70-12
71,Data 71-1,Data 71-2,Data 71-3,Data 71-4,Data 71-5,Data 71-6,Data 71-7,Data 71-8,Data 71-9,Data 71-10,Data 71-11,Data 71-12,Data 71-12,Data 71-12,Data 71-12,Data 71-12
72,Data 72-1,Data 72-2,Data 72-3,Data 72-4,Data 72-5,Data 72-6,Data 72-7,Data 72-8,Data 72-9,Data 72-10,Data 72-11,Data 72-12,Data 72-12,Data 72-12,Data 72-12,Data 72-12
73,Data 73-1,Data 73-2,Data 73-3,Data 73-4,Data 73-5,Data 73-6,Data 73-7,Data 73-8,Data 73-9,Data 73-10,Data 73-11,Data 73-12,Data 73-12,Data 73-12,Data 73-12,Data 73-12
74,Data 74-1,Data 74-2,Data 74-3,Data 74-4,Data 74-5,Data 74-6,Data 74-7,Data 74-8,Data 74-9,Data 74-10,Data 74-11,Data 74-12,Data 74-12,Data 74-12,Data 74-12,Data 74-12
75,Data 75-1,Data 75-2,Data 75-3,Data 75-4,Data 75-5,Data 75-6,Data 75-7,Data 75-8,Data 75-9,Data 75-10,Data 75-11,Data 75-12,Data 75-12,Data 75-12,Data 75-12,Data 75-12
76,Data 76-1,Data 76-2,Data 76-3,Data 76-4,Data 76-5,Data 76-6,Data 76-7,Data 76-8,Data 76-9,Data 76-10,Data 76-11,Data 76-12,Data 76-12,Data 76-12,Data 76-12,Data 76-12
77,Data 77-1,Data 77-2,Data 77-3,Data 77-4,Data 77-5,Data 77-6,Data 77-7,Data 77-8,Data 77-9,Data 77-10,Data 77-11,Data 77-12,Data 77-12,Data 77-12,Data 77-12,Data 77-12
78,Data 78-1,Data 78-2,Data 78-3,Data 78-4,Data 78-5,Data 78-6,Data 78-7,Data 78-8,Data 78-9,Data 78-10,Data 78-11,Data 78-12,Data 78-12,Data 78-12,Data 78-12,Data 78-12
79,Data 79-1,Data 79-2,Data 79-3,Data 79-4,Data 79-5,Data 79-6,Data 79-7,Data 79-8,Data 79-9,Data 79-10,Data 79-11,Data 79-12,Data 79-12,Data 79-12,Data 79-12,Data 79-12
80,Data 80-1,Data 80-2,Data 80-3,Data 80-4,Data 80-5,Data 80-6,Data 80-7,Data 80-8,Data 80-9,Data 80-10,Data 80-11,Data 80-12,Data 80-12,Data 80-12,Data 80-12,Data 80-12
81,Data 81-1,Data 81-2,Data 81-3,Data 81-4,Data 81-5,Data 81-6,Data 81-7,Data 81-8,Data 81-9,Data 81-10,Data 81-11,Data 81-12,Data 81-12,Data 81-12,Data 81-12,Data 81-12
82,Data 82-1,Data 82-2,Data 82-3,Data 82-4,Data 82-5,Data 82-6,Data 82-7,Data 82-8,Data 82-9,Data 82-10,Data 82-11,Data 82-12,Data 82-12,Data 82-12,Data 82-12,Data 82-12
83,Data 83-1,Data 83-2,Data 83-3,Data 83-4,Data 83-5,Data 83-6,Data 83-7,Data 83-8,Data 83-9,Data 83-10,Data 83-11,Data 83-12,Data 83-12,Data 83-12,Data 83-12,Data 83-12
84,Data 84-1,Data 84-2,Data 84-3,Data 84-4,Data 84-5,Data 84-6,Data 84-7,Data 84-8,Data 84-9,Data 84-10,Data 84-11,Data 84-12,Data 84-12,Data 84-12,Data 84-12,Data 84-12
85,Data 85-1,Data 85-2,Data 85-3,Data 85-4,Data 85-5,Data 85-6,Data 85-7,Data 85-8,Data 85-9,Data 85-10,Data 85-11,Data 85-12,Data 85-12,Data 85-12,Data 85-12,Data 85-12
86,Data 86-1,Data 86-2,Data 86-3,Data 86-4,Data 86-5,Data 86-6,Data 86-7,Data 86-8,Data 86-9,Data 86-10,Data 86-11,Data 86-12,Data 86-12,Data 86-12,Data 86-12,Data 86-12
87,Data 87-1,Data 87-2,Data 87-3,Data 87-4,Data 87-5,Data 87-6,Data 87-7,Data 87-8,Data 87-9,Data 87-10,Data 87-11,Data 87-12,Data 87-12,Data 87-12,Data 87-12,Data 87-12
88,Data 88-1,Data 88-2,Data 88-3,Data 88-4,Data 88-5,Data 88-6,Data 88-7,Data 88-8,Data 88-9,Data 88-10,Data 88-11,Data 88-12,Data 88-12,Data 88-12,Data 88-12,Data 88-12
89,Data 89-1,Data 89-2,Data 89-3,Data 89-4,Data 89-5,Data 89-6,Data 89-7,Data 89-8,Data 89-9,Data 89-10,Data 89-11,Data 89-12,Data 89-12,Data 89-12,Data 89-12,Data 89-12
90,Data 90-1,Data 90-2,Data 90-3,Data 90-4,Data 90-5,Data 90-6,Data 90-7,Data 90-8,Data 90-9,Data 90-10,Data 90-11,Data 90-12,Data 90-12,Data 90-12,Data 90-12,Data 90-12
91,Data 91-1,Data 91-2,Data 91-3,Data 91-4,Data 91-5,Data 91-6,Data 91-7,Data 91-8,Data 91-9,Data 91-10,Data 91-11,Data 91-12,Data 91-12,Data 91-12,Data 91-12,Data 91-12
92,Data 92-1,Data 92-2,Data 92-3,Data 92-4,Data 92-5,Data 92-6,Data 92-7,Data 92-8,Data 92-9,Data 92-10,Data 92-11,Data 92-12,Data 92-12,Data 92-12,Data 92-12,Data 92-12
93,Data 93-1,Data 93-2,Data 93-3,Data 93-4,Data 93-5,Data 93-6,Data 93-7,Data 93-8,Data 93-9,Data 93-10,Data 93-11,Data 93-12,Data 93-12,Data 93-12,Data 93-12,Data 93-12
94,Data 94-1,Data 94-2,Data 94-3,Data 94-4,Data 94-5,Data 94-6,Data 94-7,Data 94-8,Data 94-9,Data 94-10,Data 94-11,Data 94-12,Data 94-12,Data 94-12,Data 94-12,Data 94-12
95,Data 95-1,Data 95-2,Data 95-3,Data 95-4,Data 95-5,Data 95-6,Data 95-7,Data 95-8,Data 95-9,Data 95-10,Data 95-11,Data 95-12,Data 95-12,Data 95-12,Data 95-12,Data 95-12
96,Data 96-1,Data 96-2,Data 96-3,Data 96-4,Data 96-5,Data 96-6,Data 96-7,Data 96-8,Data 96-9,Data 96-10,Data 96-11,Data 96-12,Data 96-12,Data 96-12,Data 96-12,Data 96-12
97,Data 97-1,Data 97-2,Data 97-3,Data 97-4,Data 97-5,Data 97-6,Data 97-7,Data 97-8,Data 97-9,Data 97-10,Data 97-11,Data 97-12,Data 97-12,Data 97-12,Data 97-12,Data 97-12
98,Data 98-1,Data 98-2,Data 98-3,Data 98-4,Data 98-5,Data 98-6,Data 98-7,Data 98-8,Data 98-9,Data 98-10,Data 98-11,Data 98-12,Data 98-12,Data 98-12,Data 98-12,Data 98-12
99,Data 99-1,Data 99-2,Data 99-3,Data 99-4,Data 99-5,Data 99-6,Data 99-7,Data 99-8,Data 99-9,Data 99-10,Data 99-11,Data 99-12,Data 99-12,Data 99-12,Data 99-12,Data 99-12
100,Data 100-1,Data 100-2,Data 100-3,Data 100-4,Data 100-5,Data 100-6,Data 100-7,Data 100-8,Data 100-9,Data 100-10,Data 100-11,Data 100-12,Data 100-12,Data 100-12,Data 100-12,Data 100-12
101,Data 101-1,Data 101-2,Data 101-3,Data 101-4,Data 101-5,Data 101-6,Data 101-7,Data 101-8,Data 101-9,Data 101-10,Data 101-11,Data 101-12,Data 101-12,Data 101-12,Data 101-12,Data 101-12
102,Data 102-1,Data 102-2,Data 102-3,Data 102-4,Data 102-5,Data 102-6,Data 102-7,Data 102-8,Data 102-9,Data 102-10,Data 102-11,Data 102-12,Data 102-12,Data 102-12,Data 102-12,Data 102-12
103,Data 103-1,Data 103-2,Data 103-3,Data 103-4,Data 103-5,Data 103-6,Data 103-7,Data 103-8,Data 103-9,Data 103-10,Data 103-11,Data 103-12,Data 103-12,Data 103-12,Data 103-12,Data 103-12
104,Data 104-1,Data 104-2,Data 104-3,Data 104-4,Data 104-5,Data 104-6,Data 104-7,Data 104-8,Data 104-9,Data 104-10,Data 104-11,Data 104-12,Data 104-12,Data 104-12,Data 104-12,Data 104-12
105,Data 105-1,Data 105-2,Data 105-3,Data 105-4,Data 105-5,Data 105-6,Data 105-7,Data 105-8,Data 105-9,Data 105-10,Data 105-11,Data 105-12,Data 105-12,Data 105-12,Data 105-12,Data 105-12
106,Data 106-1,Data 106-2,Data 106-3,Data 106-4,Data 106-5,Data 106-6,Data 106-7,Data 106-8,Data 106-9,Data 106-10,Data 106-11,Data 106-12,Data 106-12,Data 106-12,Data 106-12,Data 106-12
107,Data 107-1,Data 107-2,Data 107-3,Data 107-4,Data 107-5,Data 107-6,Data 107-7,Data 107-8,Data 107-9,Data 107-10,Data 107-11,Data 107-12,Data 107-12,Data 107-12,Data 107-12,Data 107-12
108,Data 108-1,Data 108-2,Data 108-3,Data 108-4,Data 108-5,Data 108-6,Data 108-7,Data 108-8,Data 108-9,Data 108-10,Data 108-11,Data 108-12,Data 108-12,Data 108-12,Data 108-12,Data 108-12
109,Data 109-1,Data 109-2,Data 109-3,Data 109-4,Data 109-5,Data 109-6,Data 109-7,Data 109-8,Data 109-9,Data 109-10,Data 109-11,Data 109-12,Data 109-12,Data 109-12,Data 109-12,Data 109-12
110,Data 110-1,Data 110-2,Data 110-3,Data 110-4,Data 110-5,Data 110-6,Data 110-7,Data 110-8,Data 110-9,Data 110-10,Data 110-11,Data 110-12,Data 110-12,Data 110-12,Data 110-12,Data 110-12
111,Data 111-1,Data 111-2,Data 111-3,Data 111-4,Data 111-5,Data 111-6,Data 111-7,Data 111-8,Data 111-9,Data 111-10,Data 111-11,Data 111-12,Data 111-12,Data 111-12,Data 111-12,Data 111-12
112,Data 112-1,Data 112-2,Data 112-3,Data 112-4,Data 112-5,Data 112-6,Data 112-7,Data 112-8,Data 112-9,Data 112-10,Data 112-11,Data 112-12,Data 112-12,Data 112-12,Data 112-12,Data 112-12
113,Data 113-1,Data 113-2,Data 113-3,Data 113-4,Data 113-5,Data 113-6,Data 113-7,Data 113-8,Data 113-9,Data 113-10,Data 113-11,Data 113-12,Data 113-12,Data 113-12,Data 113-12,Data 113-12
114,Data 114-1,Data 114-2,Data 114-3,Data 114-4,Data 114-5,Data 114-6,Data 114-7,Data 114-8,Data 114-9,Data 114-10,Data 114-11,Data 114-12,Data 114-12,Data 114-12,Data 114-12,Data 114-12
115,Data 115-1,Data 115-2,Data 115-3,Data 115-4,Data 115-5,Data 115-6,Data 115-7,Data 115-8,Data 115-9,Data 115-10,Data 115-11,Data 115-12,Data 115-12,Data 115-12,Data 115-12,Data 115-12
116,Data 116-1,Data 116-2,Data 116-3,Data 116-4,Data 116-5,Data 116-6,Data 116-7,Data 116-8,Data 116-9,Data 116-10,Data 116-11,Data 116-12,Data 116-12,Data 116-12,Data 116-12,Data 116-12
117,Data 117-1,Data 117-2,Data 117-3,Data 117-4,Data 117-5,Data 117-6,Data 117-7,Data 117-8,Data 117-9,Data 117-10,Data 117-11,Data 117-12,Data 117-12,Data 117-12,Data 117-12,Data 117-12
118,Data 118-1,Data 118-2,Data 118-3,Data 118-4,Data 118-5,Data 118-6,Data 118-7,Data 118-8,Data 118-9,Data 118-10,Data 118-11,Data 118-12,Data 118-12,Data 118-12,Data 118-12,Data 118-12
119,Data 119-1,Data 119-2,Data 119-3,Data 119-4,Data 119-5,Data 119-6,Data 119-7,Data 119-8,Data 119-9,Data 119-10,Data 119-11,Data 119-12,Data 119-12,Data 119-12,Data 119-12,Data 119-12
120,Data 120-1,Data 120-2,Data 120-3,Data 120-4,Data 120-5,Data 120-6,Data 120-7,Data 120-8,Data 120-9,Data 120-10,Data 120-11,Data 120-12,Data 120-12,Data 120-12,Data 120-12,Data 120-12
